iter	Passed	Remaining
399	77630	19407
400	77815	19211
401	78010	19017
402	78219	18827
403	78414	18633
404	78603	18437
405	78803	18245
406	79009	18053
407	79206	17860
408	79400	17666
409	79589	17470
410	79779	17275
411	79972	17081
412	80169	16888
413	80361	16693
414	80548	16497
415	80745	16304
416	80936	16109
417	81115	15912
418	81321	15720
419	81509	15525
420	81692	15329
421	81888	15135
422	82072	14939
423	82266	14745
424	82457	14551
425	82646	14356
426	82841	14162
427	83028	13967
428	83218	13772
429	83416	13579
430	83606	13384
431	83782	13187
432	83983	12995
433	84189	12802
434	84383	12608
435	84582	12415
436	84760	12219
437	84957	12025
438	85151	11831
439	85341	11637
440	85541	11444
441	85738	11250
442	85927	11056
443	86121	10862
444	86316	10668
445	86517	10475
446	86710	10281
447	86906	10087
448	87139	9897
449	87344	9704
450	87536	9510
451	87730	9316
452	87918	9121
453	88105	8926
454	88314	8734
455	88515	8540
456	88695	8345
457	88887	8151
458	89069	7956
459	89264	7762
460	89465	7568
461	89653	7374
462	89853	7180
463	90049	6986
464	90242	6792
465	90446	6599
466	90643	6405
467	90830	6210
468	91035	6017
469	91237	5823
470	91442	5630
471	91631	5435
472	91819	5241
473	92015	5047
474	92198	4852
475	92400	4658
476	92594	4464
477	92794	4270
478	92982	4076
479	93182	3882
480	93372	3688
481	93567	3494
482	93765	3300
483	93963	3106
484	94180	2912
485	94378	2718
486	94573	2524
487	94755	2330
488	94951	2135
489	95143	1941
490	95353	1747
491	95540	1553
492	95730	1359
493	95931	1165
494	96120	970
495	96312	776
496	96508	582
497	96696	388
498	96895	194
499	97089	0
