iter	Logloss
0	0.6296288643
1	0.5821946975
2	0.5480677711
3	0.5123450575
4	0.4875154698
5	0.4674911804
6	0.4504208504
7	0.4353931147
8	0.4248394744
9	0.413296326
10	0.4009014294
11	0.3828460275
12	0.3755202104
13	0.3676452403
14	0.3596143445
15	0.353868638
16	0.3474998286
17	0.3429003152
18	0.3381041508
19	0.333350141
20	0.3292973882
21	0.3265203465
22	0.322174167
23	0.316896633
24	0.3134501395
25	0.3094006399
26	0.3068188395
27	0.304871269
28	0.3016387149
29	0.2998175822
30	0.2982536447
31	0.2965144157
32	0.2938241863
33	0.2916100297
34	0.2897825353
35	0.287203319
36	0.2849678223
37	0.2823549006
38	0.2810826726
39	0.2802786484
40	0.2790759407
41	0.2781028291
42	0.2762132194
43	0.2752490695
44	0.2743412862
45	0.2731150538
46	0.2715657078
47	0.2701099466
48	0.268784837
49	0.266830934
50	0.2660269067
51	0.2646782567
52	0.2628010246
53	0.2617921852
54	0.2606396183
55	0.2595078901
56	0.2587977941
57	0.2577086284
58	0.2571770301
59	0.2562695037
60	0.2555473835
61	0.2554686724
62	0.2547833944
63	0.2537174728
64	0.252768543
65	0.251838498
66	0.2509612726
67	0.2504265755
68	0.2494442262
69	0.249104761
70	0.2486960974
71	0.2482569634
72	0.2477714407
73	0.2464044646
74	0.2456109649
75	0.2448099481
76	0.2438464602
77	0.2433129427
78	0.2429680981
79	0.2422450593
80	0.2416460713
81	0.2409826059
82	0.2402295378
83	0.2400443277
84	0.2392591421
85	0.2390113624
86	0.2384773548
87	0.2379919968
88	0.2370891739
89	0.2362121789
90	0.2351579621
91	0.2343301959
92	0.233452868
93	0.2329518694
94	0.2323351249
95	0.2315851261
96	0.2309921548
97	0.2305738926
98	0.2300448769
99	0.2296254175
100	0.2289884323
101	0.2283124719
102	0.2278206864
103	0.2272275188
104	0.2268332763
105	0.226095053
106	0.2254409017
107	0.2248110495
108	0.2243368971
109	0.2238040135
110	0.2232006642
111	0.2227205304
112	0.2223561951
113	0.2216983561
114	0.2209586996
115	0.2205298801
116	0.2195427809
117	0.2188465597
118	0.2182930216
119	0.2176877293
120	0.2170684582
121	0.2161969935
122	0.2153729387
123	0.2146857619
124	0.2142945648
125	0.2132131837
126	0.2127383483
127	0.2119702926
128	0.2112097154
129	0.2102272512
130	0.2093227935
131	0.20867971
132	0.2081216313
133	0.2073054524
134	0.2067835516
135	0.206164133
136	0.2054511001
137	0.2038031748
138	0.2031024939
139	0.2025187395
140	0.2015838886
141	0.2010311884
142	0.2001818954
143	0.1997091041
144	0.1989549348
145	0.1979763843
146	0.1972497386
147	0.1963912895
148	0.1957835547
149	0.1951423843
150	0.1943952249
151	0.193597914
152	0.1928254252
153	0.1922184344
154	0.1916631392
155	0.1908948045
156	0.1902529434
157	0.1897955003
158	0.1893419255
159	0.1888597387
160	0.1884446632
161	0.1881273073
162	0.1876924578
163	0.1873562047
164	0.1868639607
165	0.18636003
166	0.1857798703
167	0.1851008819
168	0.1845151058
169	0.1840877436
170	0.1836240553
171	0.1830427962
172	0.1825332172
173	0.1820813753
174	0.181655572
175	0.1812870743
176	0.1810632769
177	0.1804665959
178	0.180128488
179	0.1796790907
180	0.1790874319
181	0.178814524
182	0.1785763686
183	0.1781153361
184	0.1777242296
185	0.1772601948
186	0.1769913767
187	0.1764898441
188	0.1757746258
189	0.1753202094
190	0.1750304615
191	0.1745634669
192	0.1741521629
193	0.1737192482
194	0.173374794
195	0.173011059
196	0.17251386
197	0.1720217895
198	0.1717834711
199	0.1714065368
200	0.1708088803
201	0.1705497856
202	0.1700831646
203	0.1695363714
204	0.1689092878
205	0.1684237452
206	0.1678078507
207	0.1673423666
208	0.1664998714
209	0.1659631755
210	0.1657715598
211	0.1655878113
212	0.1654077578
213	0.165019299
214	0.1647301293
215	0.1643734515
216	0.1641930861
217	0.1639275237
218	0.1634924331
219	0.1630485156
220	0.1627592012
221	0.1624640695
222	0.1620543448
223	0.1617982441
224	0.1614294529
225	0.1612207115
226	0.1609334976
227	0.1606529156
228	0.1604419671
229	0.1599622671
230	0.159831662
231	0.159584139
232	0.159189365
233	0.1590103728
234	0.1589031032
235	0.1584806962
236	0.1581637782
237	0.1579900079
238	0.1577835609
239	0.1576488299
240	0.1573731833
241	0.1570263918
242	0.1564708506
243	0.1561288662
244	0.1557709031
245	0.1553128695
246	0.1550639427
247	0.1547055125
248	0.1542843985
249	0.1538655912
250	0.1531142465
251	0.152865773
252	0.152621041
253	0.1520447919
254	0.1517475808
255	0.1511799831
256	0.1506850481
257	0.1502390295
258	0.1498162806
259	0.1495158944
260	0.1492923139
261	0.1488410603
262	0.1486086651
263	0.1484154592
264	0.1480666897
265	0.1478248144
266	0.1475687702
267	0.1473753689
268	0.1470792408
269	0.1467463258
270	0.1463313266
271	0.146165785
272	0.1457508281
273	0.1453936526
274	0.1449640106
275	0.1447438393
276	0.1444742787
277	0.1442387408
278	0.1437899091
279	0.1435806149
280	0.1430087579
281	0.1423959825
282	0.1421170246
283	0.1418394421
284	0.1415472164
285	0.1412552227
286	0.1408375406
287	0.140395118
288	0.1400115191
289	0.1396108633
290	0.1393403439
291	0.1387504545
292	0.1381411562
293	0.1378546488
294	0.1374264304
295	0.1370875051
296	0.1367609658
297	0.1364736335
298	0.1361583512
299	0.1358671872
300	0.1356784737
301	0.1353280246
302	0.1349819698
303	0.1345149835
304	0.1343155747
305	0.1340610398
306	0.1338669388
307	0.1334557617
308	0.1330661851
309	0.1328231339
310	0.1325674221
311	0.1322832904
312	0.1320009553
313	0.131889966
314	0.131547362
315	0.1311849085
316	0.1308454719
317	0.130435594
318	0.1302168264
319	0.1297463658
320	0.1295262511
321	0.1293414862
322	0.1292064401
323	0.1290744799
324	0.1288761729
325	0.1285474046
326	0.1282171766
327	0.1280248995
328	0.1279098154
329	0.1275872943
330	0.127378153
331	0.1270522825
332	0.1266944316
333	0.1263557463
334	0.1261043791
335	0.1257244459
336	0.1253230805
337	0.1250451787
338	0.1248001036
339	0.124608536
340	0.1243390203
341	0.1240830632
342	0.1238171153
343	0.1236046206
344	0.1234712815
345	0.1232097161
346	0.1230310172
347	0.1225470212
348	0.122312917
349	0.1220060234
350	0.1217534637
351	0.1213913488
352	0.121197899
353	0.1208762538
354	0.1206045508
355	0.1203568658
356	0.1201912588
357	0.1198816298
358	0.1195729641
359	0.119344415
360	0.1191180766
361	0.1188029031
362	0.1186126074
363	0.1184589686
364	0.1182143981
365	0.1180275424
366	0.1178442689
367	0.1176974922
368	0.1172390762
369	0.1169590882
370	0.1168238497
371	0.1165605821
372	0.1162498068
373	0.1159338135
374	0.1156405353
375	0.11547328
376	0.115248785
377	0.1149662968
378	0.1147683831
379	0.1145468913
380	0.1143507547
381	0.1141409871
382	0.1138245966
383	0.1136569416
384	0.1134852081
385	0.1131826625
386	0.1127892212
387	0.11274644
388	0.1125715116
389	0.1124763527
390	0.1122506155
391	0.1120515174
392	0.1119422798
393	0.1116981376
394	0.1114860137
395	0.1112123505
396	0.1110732821
397	0.1108291047
398	0.1106285458
399	0.1103598844
400	0.1101074176
401	0.1099619182
402	0.10980376
403	0.1097299349
404	0.1095748699
405	0.1094062533
406	0.1092082179
407	0.1090491444
408	0.108920906
409	0.1088659548
410	0.1086410829
411	0.1084882387
412	0.1083196756
413	0.1079742587
414	0.1077825182
415	0.1077112154
416	0.1072873364
417	0.1070865066
418	0.1069353507
419	0.1066912016
420	0.1065951164
421	0.106407203
422	0.106241053
423	0.1060137922
424	0.1058640031
425	0.1056972517
426	0.1054607452
427	0.105218305
428	0.1050673124
429	0.1048836734
430	0.1046257095
431	0.1043948394
432	0.1040742646
433	0.1039600066
434	0.1036978024
435	0.1034225147
436	0.1031938831
437	0.1028597367
438	0.1026788081
439	0.1025516549
440	0.1023561152
441	0.1020287067
442	0.1017593256
443	0.1015991663
444	0.1014800226
445	0.1011668653
446	0.1009534407
447	0.1007457489
448	0.1004348991
449	0.1002804278
450	0.1001440288
451	0.1000055748
452	0.09982527541
453	0.09953119005
454	0.0993566561
455	0.09921872692
456	0.09904053445
457	0.0986692657
458	0.09847966532
459	0.098246308
460	0.09815579735
461	0.09789378908
462	0.09772505039
463	0.09738432755
464	0.09723256068
465	0.09703932364
466	0.09692754246
467	0.0968544239
468	0.09662682413
469	0.09647942595
470	0.09630518468
471	0.09617609737
472	0.09598318876
473	0.09582865561
474	0.09556969733
475	0.09527778159
476	0.09502688066
477	0.09468135822
478	0.0945634461
479	0.09448269152
480	0.09433073735
481	0.09426846696
482	0.09410637984
483	0.09391537353
484	0.09370554147
485	0.09359735681
486	0.09344921449
487	0.09325784719
488	0.09302687289
489	0.09270208343
490	0.09252067142
491	0.09230076964
492	0.09214619153
493	0.09204663115
494	0.09197765156
495	0.09179189692
496	0.09149208703
497	0.09130552805
498	0.09110948544
499	0.09096401577
